市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証PRM,6358,酒井重工業(株),機械,2037,5.15,-3,-2,3,-2,11,3,17,9,36
東証PRM,7172,(株)ジャパンインベストメントアドバイザー,証券業,2102,5.14,21,6,3,-25,19,5,-8,15,36
東証STD,6292,(株)カワタ,機械,819,4.64,3,-2,-3,-13,15,13,8,15,36
東証STD,3538,(株)ウイルプラスホールディングス,小売業,996,4.62,21,-10,3,-18,15,8,2,15,36
東証STD,3440,日創グループ(株),金属製品,933,4.5,15,-2,3,-18,7,11,17,3,36
東証PRM,7272,ヤマハ発動機(株),輸送用機器,1116,4.48,3,-6,-15,3,7,21,8,15,36
東証STD,4492,(株)ゼネテック,情報・通信,454,4.3,21,2,4,-18,7,3,5,12,36
東証PRM,6463,ＴＰＲ(株),機械,1248,4.17,9,-10,-3,-3,19,5,10,9,36
東証PRM,9880,イノテック(株),電気機器,3220,3.88,9,-2,-9,-3,15,9,14,3,36
東証PRM,3465,ケイアイスター不動産(株),不動産業,3085,3.81,21,-2,9,-27,-3,21,-10,27,36
東証GRT,9346,(株)ココルポート,サービス業,1644,3.71,12,2,3,13,0,4,2,0,36
東証PRM,9143,ＳＧホールディングス(株),陸運業,1475.5,3.59,3,-2,9,-3,14,8,10,-3,36
東証PRM,8309,三井住友トラストグループ(株),銀行業,5406,3.42,21,0,3,-19,17,15,-10,9,36
東証STD,6497,(株)ハマイ,機械,1330,3.38,9,-2,-9,3,7,11,20,-3,36
東証PRM,2433,(株)博報堂ＤＹホールディングス,サービス業,1042.5,3.07,9,2,-9,3,15,5,-4,15,36
東証PRM,2908,フジッコ(株),食料品,1515,3.04,15,-6,-9,-3,17,-5,30,-3,36
東証STD,2179,(株)成学社,サービス業,750,2.93,21,-2,3,-9,15,7,-8,9,36
東証PRM,9003,相鉄ホールディングス(株),陸運業,2687.5,2.6,9,2,15,9,11,15,-10,-15,36
東証GRT,9345,ビズメイツ(株),サービス業,580,2.59,15,-4,6,0,1,2,1,15,36
東証STD,9890,(株)マキヤ,小売業,1202,2.5,21,-42,3,9,11,9,10,15,36
東証STD,6338,(株)タカトリ,機械,1707,2.34,-9,32,-2,-24,3,12,15,9,36
東証PRM,8053,住友商事(株),卸売業,7180,2.23,9,-2,9,3,19,13,-6,-9,36
東証GRT,369A,(株)エータイ,サービス業,2496,2.16,9,4,3,0,3,0,14,3,36
東証PRM,8411,(株)みずほフィナンシャルグループ,銀行業,6771,2.14,21,0,3,-13,10,16,-10,9,36
東証GRT,4054,日本情報クリエイト(株),情報・通信,564,2.13,21,2,4,3,3,-5,14,-6,36
東証STD,5250,ＧＭＯプライム・ストラテジー(株),情報・通信,1102,2,6,24,-16,-3,6,1,6,12,36
東証PRM,5451,(株)ヨドコウ,鉄鋼,1329,6.7,-3,2,-2,-8,13,10,20,3,35
東証STD,5161,西川ゴム工業(株),ゴム製品,3190,5.71,15,-2,-8,-3,9,2,13,9,35
東証STD,3948,光ビジネスフォーム(株),パルプ・紙,1178,4.24,-9,-2,-8,15,7,0,23,9,35
東証PRM,5911,(株)横河ブリッジホールディングス,金属製品,2959,4.06,3,6,9,-23,19,13,11,-3,35
東証PRM,4028,石原産業(株),化学,3285,3.65,3,2,-3,-1,12,11,8,3,35
東証STD,5816,オーナンバ(株),非鉄金属,2000,3.5,-9,2,4,-3,9,16,13,3,35
東証GRT,7061,日本ホスピスホールディングス(株),サービス業,743,3.36,18,0,-5,12,3,4,-9,12,35
東証GRT,9259,(株)タカヨシホールディングス,サービス業,901,3.33,9,26,-7,6,0,0,-8,9,35
東証STD,3799,キーウェアソリューションズ(株),情報・通信,1043,3.26,15,-30,15,-12,15,11,18,3,35
東証PRM,2337,いちご(株),不動産業,488,3.18,15,32,9,-24,19,-3,-10,-3,35
東証PRM,7189,(株)西日本フィナンシャルホールディングス,銀行業,3946,2.99,6,0,0,-4,14,16,-9,12,35
東証STD,3143,オーウイル(株),卸売業,738,2.98,21,-34,21,-12,17,17,-10,15,35
東証PRM,6966,(株)三井ハイテック,電気機器,700,2.71,18,-12,-11,0,4,5,13,18,35
東証STD,8198,マックスバリュ東海(株),小売業,3475,2.45,15,-38,3,-3,15,11,17,15,35
東証STD,3826,(株)システムインテグレータ,情報・通信,456,2.41,3,-2,-3,-8,-3,23,16,9,35
東証STD,6393,油研工業(株),機械,2998,5,3,-2,-3,-3,11,9,10,9,34
東証STD,7177,ＧＭＯフィナンシャルホールディングス(株),証券業,1096,5,12,22,3,-15,3,0,-9,18,34
東証STD,3766,システムズ・デザイン(株),情報・通信,1370,4.01,15,-6,-14,-8,11,13,20,3,34
東証PRM,1911,住友林業(株),建設業,1308.5,3.82,15,-2,-3,3,11,11,-4,3,34
東証STD,9441,(株)ベルパーク,情報・通信,2880,3.54,9,-34,9,-2,21,13,15,3,34
東証STD,6932,(株)遠藤照明,電気機器,2503,3.52,3,-2,4,3,9,2,6,9,34
東証STD,7539,(株)アイナボホールディングス,卸売業,763,3.41,15,-38,-3,3,9,21,12,15,34
東証PRM,3946,(株)トーモク,パルプ・紙,3880,3.35,15,-38,9,9,13,9,2,15,34
東証PRM,8273,(株)イズミ,小売業,933,3.22,15,-2,-15,3,19,13,4,-3,34
東証PRM,6289,(株)技研製作所,機械,1791,3.02,3,2,3,-9,9,1,22,3,34
東証STD,5951,ダイニチ工業(株),金属製品,992,2.82,3,2,3,-7,7,-1,30,-3,34
東証STD,9074,日本石油輸送(株),陸運業,5180,2.7,15,-42,9,3,7,13,14,15,34
東証PRM,3360,シップヘルスケアホールディングス(株),卸売業,2266,2.65,21,-46,15,-3,21,27,-10,9,34
東証PRM,5301,東海カーボン(株),ガラス・土石製品,1190,2.52,3,-2,-7,3,7,9,12,9,34
東証PRM,8331,(株)千葉銀行,銀行業,2154.5,2.41,15,0,3,-13,19,11,-10,9,34
東証GRT,189A,(株)Ｄ＆Ｍカンパニー,サービス業,928,2.16,12,28,6,-12,6,0,-6,0,34
東証STD,9904,(株)ベリテ,小売業,393,5.34,3,36,3,-3,0,-20,17,-3,33
東証PRM,1429,(株)日本アクア,建設業,753,4.65,21,-6,9,-24,21,7,8,-3,33
東証STD,7561,(株)ハークスレイ,小売業,643,4.35,-3,6,3,-14,13,21,4,3,33
東証PRM,6430,ダイコク電機(株),機械,2351,4.25,3,6,4,-14,7,-2,20,9,33
東証PRM,5110,住友ゴム工業(株),ゴム製品,2038,4.12,3,-2,3,3,7,6,10,3,33
東証PRM,7504,(株)高速,卸売業,3005,3.86,21,-42,9,-3,21,15,15,-3,33
東証STD,3895,ハビックス(株),パルプ・紙,420,3.81,15,-2,-2,-3,13,4,11,-3,33
東証STD,3352,(株)バッファロー,小売業,1729,3.76,15,-34,-8,9,15,1,20,15,33
東証STD,6074,(株)ジェイエスエス,サービス業,545,3.67,15,-6,-3,-8,15,7,-2,15,33
東証GRT,7361,(株)ヒューマンクリエイションホールディングス,サービス業,1202,3.66,18,-4,6,6,6,-4,-4,9,33
名証,1869,名工建設(株),,1810,2.98,3,-2,3,-18,19,5,14,9,33
東証PRM,7951,ヤマハ(株),その他製品,1116.5,2.33,3,-2,-3,-2,19,1,20,-3,33
東証PRM,9042,阪急阪神ホールディングス(株),陸運業,4500,2.22,9,-2,3,-14,15,11,-10,21,33
東証STD,3560,(株)ほぼ日,小売業,4310,2.09,15,-6,9,-14,9,9,20,-9,33
東証STD,6229,(株)オーケーエム,機械,1912,2.09,15,0,-3,-5,3,10,16,-3,33
東証PRM,6379,レイズネクスト(株),建設業,2285,4.55,15,-6,3,-18,9,15,17,-3,32
東証PRM,4973,日本高純度化学(株),化学,5470,4.2,-3,-10,9,-3,7,-1,30,3,32
東証PRM,5401,日本製鉄(株),鉄鋼,570.9,4.2,3,-10,-8,3,5,14,4,21,32
東証PRM,8014,蝶理(株),卸売業,4235,4.04,3,-38,15,-8,21,19,11,9,32
東証PRM,9104,(株)商船三井,海運業,5774,3.55,3,6,-1,3,7,13,-2,3,32
東証STD,261A,(株)日水コン,サービス業,2217,3.34,9,0,12,-5,10,-4,7,3,32
東証PRM,9503,関西電力(株),電気・ガス業,2408.5,3.32,9,-2,-3,-3,12,8,-10,21,32
東証PRM,9535,広島ガス(株),電気・ガス業,405,2.96,9,-6,-3,3,13,5,8,3,32
東証PRM,9470,(株)学研ホールディングス,情報・通信,1014,2.86,21,-38,-3,15,17,15,-4,9,32
東証STD,6307,サンセイ(株),機械,538,2.79,15,2,3,-24,15,9,15,-3,32
東証PRM,6302,住友重機械工業(株),機械,5328,2.72,-6,-8,6,0,8,11,9,12,32
東証PRM,6135,(株)牧野フライス製作所,機械,13200,2.58,3,2,-3,3,11,7,12,-3,32
東証GRT,7073,(株)ジェイック,サービス業,2170,2.53,18,4,1,6,4,2,-6,3,32
東証STD,6998,日本タングステン(株),電気機器,2049,2.44,3,-2,-3,3,-1,17,18,-3,32
東証PRM,7459,(株)メディパルホールディングス,卸売業,2772.5,2.31,21,-34,3,3,21,13,-10,15,32
東証PRM,5991,ニッパツ,金属製品,2895,2.28,9,2,-3,-9,13,1,10,9,32
東証PRM,9517,イーレックス(株),電気・ガス業,1029,2.14,9,-2,-2,10,11,9,-6,3,32
東証PRM,5195,バンドー化学(株),ゴム製品,2039,4.9,9,-2,9,-3,13,-5,19,-9,31
東証PRM,3291,飯田グループホールディングス(株),不動産業,2213,4.52,15,-6,-9,-12,13,5,10,15,31
東証STD,4293,(株)セプテーニ・ホールディングス,サービス業,414,4.35,15,24,-14,-7,3,-1,14,-3,31
東証PRM,3388,明治電機工業(株),卸売業,2047,4.3,15,-34,3,-7,13,19,13,9,31
東証PRM,7942,(株)ＪＳＰ,化学,2610,3.83,9,-6,-9,3,13,11,19,-9,31
東証GRT,9344,アクシスコンサルティング(株),サービス業,915,3.83,15,2,4,-5,0,2,4,9,31
東証PRM,4078,堺化学工業(株),化学,3920,3.7,3,-6,-8,3,5,18,19,-3,31
東証PRM,9765,(株)オオバ,サービス業,1214,3.62,3,6,-3,-24,11,11,18,9,31
東証PRM,7552,(株)ハピネット,卸売業,2631,3.52,9,-38,-3,10,17,11,10,15,31
東証PRM,4188,三菱ケミカルグループ(株),化学,922.4,3.47,3,-2,-3,21,11,8,-10,3,31
東証STD,7692,(株)アースインフィニティ,電気・ガス業,96,2.71,15,6,10,-12,6,-1,-5,12,31
東証STD,7521,(株)ムサシ,卸売業,2920,2.6,3,2,3,-18,3,9,20,9,31
東証STD,1758,太洋基礎工業(株),建設業,2559,2.54,-6,0,6,-11,12,6,18,6,31
東証GRT,6038,(株)イード,サービス業,914,2.41,9,-2,-8,3,6,6,20,-3,31
東証STD,6676,(株)バッファロー,電気機器,2525,2.38,-3,-6,-3,9,11,1,19,3,31
東証STD,3461,(株)パルマ,不動産業,565,2.3,9,-2,9,-28,16,9,15,3,31
東証PRM,6644,大崎電気工業(株),電気機器,2111,2.13,15,-2,-2,-2,11,4,10,-3,31
東証STD,5287,(株)イトーヨーギョー,ガラス・土石製品,1060,2.08,15,6,-13,-17,15,7,15,3,31
東証STD,197A,(株)タウンズ,医薬品,507,5.52,3,32,-5,-8,3,0,5,0,30
東証PRM,3861,王子ホールディングス(株),パルプ・紙,829.2,4.34,9,-10,-3,3,15,3,-2,15,30
東証PRM,6486,イーグル工業(株),機械,2936,4.26,3,-6,-3,3,15,-1,10,9,30
東証STD,3321,ミタチ産業(株),卸売業,2031,3.94,-3,2,3,-18,3,17,11,15,30
東証PRM,4183,三井化学(株),化学,1920,3.91,3,-6,-3,9,17,11,-10,9,30
東証PRM,1786,オリエンタル白石(株),建設業,377,3.85,12,-2,0,-10,4,11,15,0,30
東証PRM,5440,共英製鋼(株),鉄鋼,1825,3.84,3,2,3,-7,11,9,12,-3,30
東証STD,2689,オルバヘルスケアホールディングス(株),卸売業,2100,3.81,9,4,-3,-7,15,13,-10,9,30
東証PRM,9021,西日本旅客鉄道(株),陸運業,2782.5,3.5,9,2,4,-7,21,14,-10,-3,30
東証PRM,7628,(株)オーハシテクニカ,卸売業,1098,3.37,9,-6,-9,-3,19,-5,22,3,30
名証PRM,6623,愛知電機(株),,8410,3.33,9,-6,-3,-8,11,13,11,3,30
東証STD,8131,(株)ミツウロコグループホールディングス,卸売業,1992,3.31,15,-42,21,-3,19,17,12,-9,30
東証STD,4197,(株)アスマーク,情報・通信,2385,3.27,9,-2,-13,-2,3,6,8,21,30
東証STD,2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,情報・通信,947,3.17,6,4,1,1,11,8,-1,0,30
東証PRM,2270,雪印メグミルク(株),食料品,3175,3.15,21,-34,-3,3,13,13,8,9,30
東証PRM,3107,ダイワボウホールディングス(株),卸売業,3403,3.09,21,-34,15,3,15,5,-10,15,30
東証STD,1992,神田通信機(株),建設業,2745,2.77,3,2,-9,-8,15,10,14,3,30
東証STD,5355,日本ルツボ(株),ガラス・土石製品,654,2.75,9,-38,4,9,7,16,8,15,30
東証PRM,8630,ＳＯＭＰＯホールディングス(株),保険業,5762,2.6,9,0,-3,-3,21,7,-10,9,30
東証PRM,9052,山陽電気鉄道(株),陸運業,1968,2.54,3,2,3,-3,13,11,4,-3,30
東証GRT,4811,(株)ドリーム・アーツ,情報・通信,801,2.5,3,6,-2,6,6,-1,3,9,30
東証STD,3965,(株)キャピタル・アセット・プランニング,情報・通信,852,2.35,15,2,4,-22,19,1,8,3,30
東証STD,4347,ブロードメディア(株),サービス業,2155,2.32,21,6,-1,-8,9,4,-4,3,30
東証PRM,2811,カゴメ(株),食料品,2557,2.27,3,6,3,-9,9,11,10,-3,30
東証STD,7254,(株)ユニバンス,輸送用機器,784,2.04,-3,-2,-6,9,9,8,6,9,30
東証PRM,3486,(株)グローバル・リンク・マネジメント,不動産業,1868,5.35,18,0,9,-30,13,10,-9,18,29
東証PRM,7313,テイ・エス　テック(株),輸送用機器,1760,5.11,3,-6,-9,-3,21,-6,20,9,29
東証STD,3597,(株)自重堂,繊維製品,10120,4.94,3,-6,-9,-12,13,1,30,9,29
東証PRM,4202,(株)ダイセル,化学,1221.5,4.91,9,-6,-3,-3,19,7,9,-3,29
東証STD,2009,鳥越製粉(株),食料品,1086,4.51,3,-2,-3,-2,11,7,24,-9,29
東証PRM,8097,三愛オブリ(株),卸売業,2322,4.31,3,-34,9,10,19,3,10,9,29
東証STD,3918,ＰＣＩホールディングス(株),情報・通信,1065,4.13,9,-6,-9,-3,13,11,11,3,29
東証PRM,6418,日本金銭機械(株),機械,972,4.12,9,2,4,-23,11,0,23,3,29
東証GRT,3695,ＧＭＯプロダクトプラットフォーム(株),情報・通信,1678,3.83,9,2,-9,3,1,-1,15,9,29
東証STD,3800,(株)ユニリタ,情報・通信,1895,3.8,9,-2,-3,-3,11,-1,21,-3,29
東証STD,7368,表示灯(株),サービス業,1684,3.68,15,4,3,0,4,-4,4,3,29
東証PRM,4503,アステラス製薬(株),医薬品,2300,3.48,3,2,-3,-3,21,1,17,-9,29
東証STD,6337,(株)テセック,機械,2963,3.37,3,2,-7,-18,4,6,30,9,29
東証PRM,2294,(株)柿安本店,食料品,2611,3.26,-3,-2,-9,-3,9,13,21,3,29
東証STD,7219,(株)エッチ・ケー・エス,輸送用機器,2270,2.86,-3,-6,-3,3,1,13,21,3,29
東証PRM,5471,大同特殊鋼(株),鉄鋼,1879,2.61,-3,-2,-3,-2,9,11,10,9,29
東証STD,4286,(株)ＣＬホールディングス,サービス業,1220,2.54,21,-38,15,-8,15,19,2,3,29
東証STD,9127,玉井商船(株),海運業,3215,2.49,-3,28,-17,-3,5,6,4,9,29
東証PRM,1780,(株)ヤマウラ,建設業,1449,2.07,3,2,3,-18,9,9,18,3,29
東証PRM,5482,愛知製鋼(株),鉄鋼,2874,5.22,9,-30,15,-3,15,9,10,3,28
東証PRM,4714,(株)リソー教育グループ,サービス業,195,5.13,21,2,3,-2,11,-21,11,3,28
東証PRM,2121,(株)ＭＩＸＩ,情報・通信,2603,4.61,-3,24,-9,-3,-3,-9,28,3,28
東証STD,3951,朝日印刷(株),パルプ・紙,862,4.41,21,-14,-15,9,-3,17,10,3,28
東証PRM,4045,東亞合成(株),化学,1719,4.07,-3,-2,-3,3,17,-1,20,-3,28
名証,1777,川崎設備工業(株),,2367,4.01,3,6,9,-21,13,15,6,-3,28
東証STD,372A,(株)レント,サービス業,5660,3.71,9,4,9,-6,9,5,-5,3,28
東証STD,4335,ＩＰＳホールディングス(株),情報・通信,1250,3.04,15,-2,9,-28,11,13,13,-3,28
東証STD,8018,三共生興(株),卸売業,888,3.04,-3,2,3,-3,13,-1,20,-3,28
東証PRM,8154,加賀電子(株),卸売業,4340,3,9,-6,-3,-19,11,13,2,21,28
東証PRM,9008,京王電鉄(株),陸運業,747,2.95,15,2,15,-9,7,7,-6,-3,28
東証PRM,8600,トモニホールディングス(株),銀行業,889,2.92,15,0,-3,-17,13,9,-10,21,28
東証STD,4531,有機合成薬品工業(株),化学,349,2.87,9,2,-2,-3,5,10,10,-3,28
東証STD,7871,フクビ化学工業(株),化学,1019,2.65,21,-42,9,-3,9,17,20,-3,28
東証STD,6042,(株)ニッキ,輸送用機器,4365,2.52,-9,2,-3,-8,17,15,11,3,28
東証STD,7614,(株)オーエムツーネットワーク,小売業,1540,2.34,-6,-8,-6,-12,10,10,22,18,28
東証PRM,8233,(株)高島屋,小売業,1901,2.1,3,6,3,9,13,5,-2,-9,28
東証STD,2903,シノブフーズ(株),食料品,1469,2.04,21,-34,3,3,17,5,10,3,28
東証STD,6927,ヘリオス　テクノ　ホールディング(株),電気機器,1121,6.42,-9,-2,-3,-14,11,13,22,9,27
,231A,Ｃｒｏｓｓ　Ｅホールディングス(株),,1117,4.92,6,0,6,0,3,0,6,6,27
東証STD,5391,(株)エーアンドエーマテリアル,ガラス・土石製品,1390,4.32,15,6,-2,-2,17,4,-2,-9,27
東証PRM,2929,(株)ファーマフーズ,食料品,618,4.05,15,6,10,-23,7,4,5,3,27
東証PRM,5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ(株),小売業,2247,3.83,6,4,1,9,3,0,1,3,27
東証STD,4120,スガイ化学工業(株),化学,2355,3.82,9,2,-7,-2,10,6,12,-3,27
東証STD,1914,日本基礎技術(株),建設業,733,3.68,3,6,4,-3,13,-7,20,-9,27
東証STD,9625,(株)セレスポ,サービス業,1094,3.66,3,2,-13,-13,9,11,19,9,27
東証PRM,5410,合同製鐵(株),鉄鋼,2886,3.47,3,2,-2,-7,0,12,10,9,27
名証,5530,日本システムバンク(株),,1053,3.04,15,2,3,0,7,4,-7,3,27
東証PRM,8052,椿本興業(株),卸売業,2918,2.74,15,-34,15,-8,13,13,-2,15,27
東証STD,3910,(株)エムケイシステム,情報・通信,309,2.59,15,-6,-1,-1,3,11,9,-3,27
東証PRM,6460,セガサミーホールディングス(株),機械,2300,2.39,9,2,3,-2,7,-5,16,-3,27
東証PRM,7270,(株)ＳＵＢＡＲＵ,輸送用機器,2358,4.88,3,-2,-3,-3,9,9,10,3,26
東証PRM,2461,(株)ファンコミュニケーションズ,サービス業,446,4.71,-9,20,-9,-3,11,-7,20,3,26
東証PRM,8008,４℃ホールディングス,小売業,1831,4.64,-9,-2,9,3,15,-13,20,3,26
東証STD,1867,(株)植木組,建設業,2704,4.44,9,-2,9,-19,15,13,10,-9,26
東証PRM,5933,アルインコ(株),金属製品,1026,4.39,15,-42,9,-3,15,19,10,3,26
東証STD,7235,東京ラヂエーター製造(株),輸送用機器,1492,3.95,3,2,-7,-8,21,5,19,-9,26
,242A,(株)リプライオリティ,,600,3.8,0,6,6,-3,5,0,6,6,26
東証PRM,9305,(株)ヤマタネ,卸売業,1995,3.76,9,-6,3,9,15,9,-10,-3,26
東証STD,5279,日本興業(株),ガラス・土石製品,1205,3.73,-3,-38,9,3,13,13,8,21,26
東証PRM,1808,(株)長谷工コーポレーション,建設業,2758,3.26,9,-6,3,-13,11,15,-2,9,26
東証PRM,4118,(株)カネカ,化学,4943,3.24,9,-6,3,-9,11,11,10,-3,26
東証PRM,7327,(株)第四北越フィナンシャルグループ,銀行業,1977,3.19,12,0,6,-15,10,14,-7,6,26
東証GRT,156A,マテリアルグループ(株),サービス業,831,3.14,6,2,0,3,3,-2,8,6,26
東証STD,3297,(株)東武住販,不動産業,1345,2.97,9,-10,3,-28,17,13,19,3,26
東証PRM,8334,(株)群馬銀行,銀行業,2164,2.87,9,0,3,-17,15,11,-10,15,26
東証PRM,6457,グローリー(株),機械,4117,2.72,3,-2,-8,4,13,12,13,-9,26
東証PRM,1961,三機工業(株),建設業,2517,2.58,3,6,-3,-1,13,-5,10,3,26
東証PRM,3132,マクニカホールディングス(株),卸売業,2765,2.53,3,2,-3,-23,11,19,8,9,26
東証STD,4026,神島化学工業(株),ガラス・土石製品,1938,2.53,9,-2,3,-9,13,15,-6,3,26
東証STD,3123,サイボー(株),繊維製品,635,2.52,9,-2,-12,-3,9,14,2,9,26
東証STD,300A,ＭＩＣ(株),サービス業,2782,2.16,3,0,-3,6,5,0,12,3,26
東証STD,8931,和田興産(株),不動産業,1290,4.65,15,-2,15,-28,21,11,-10,3,25
東証STD,8572,アコム(株),その他金融業,494.1,4.45,21,28,-14,-16,15,2,-2,-9,25
東証STD,8135,ゼット(株),卸売業,428,4.21,9,-34,4,-2,13,8,6,21,25
東証PRM,3191,(株)ジョイフル本田,小売業,2097,4.01,-9,-2,3,-3,15,-3,21,3,25
東証PRM,2395,(株)新日本科学,サービス業,1435,3.48,3,2,-19,5,8,11,6,9,25
東証PRM,5714,ＤＯＷＡホールディングス(株),非鉄金属,10180,3.12,-3,-6,-3,-8,9,17,10,9,25
東証PRM,9247,ＴＲＥホールディングス(株),サービス業,1621,3.08,9,2,-3,3,7,6,4,-3,25
東証PRM,7965,象印マホービン(株),電気機器,1570,2.93,-3,2,-9,-2,9,5,20,3,25
東証PRM,262A,(株)インターメスティック,小売業,2027,2.52,6,6,0,-3,0,6,4,6,25
東証STD,3299,(株)ムゲンエステート,不動産業,2207,5.89,3,2,3,-23,13,21,-10,15,24
東証GRT,3989,シェアリングテクノロジー(株),情報・通信,1124,4.89,15,6,-7,-1,3,-2,1,9,24
東証GRT,6180,ＧＭＯメディア(株),サービス業,4380,4.79,9,-2,-13,3,3,1,14,9,24
東証PRM,7820,ニホンフラッシュ(株),その他製品,778,4.63,-3,-10,-8,-3,13,6,20,9,24
東証PRM,5076,インフロニア・ホールディングス(株),建設業,2272,4.05,9,2,9,-2,7,-6,-4,9,24
東証STD,2907,(株)あじかん,食料品,1341,3.88,21,-42,3,4,11,13,11,3,24
東証STD,4463,日華化学(株),化学,1821,3.84,3,6,3,-3,3,9,0,3,24
東証STD,4623,(株)アサヒペン,化学,1706,3.52,3,2,3,-3,9,11,20,-21,24
東証PRM,8697,(株)日本取引所グループ,その他金融業,1861.5,3.28,9,24,-3,9,1,-15,-10,9,24
東証PRM,8381,(株)山陰合同銀行,銀行業,1887,3.18,15,0,9,-29,11,19,-10,9,24
東証STD,7299,フジオーゼックス(株),輸送用機器,1715,3.03,9,-2,-9,-14,7,11,25,-3,24
東証STD,9366,(株)サンリツ,倉庫・運輸関連業,935,2.89,3,-2,-3,3,1,21,4,-3,24
東証STD,4346,(株)ＮＥＸＹＺ．Ｇｒｏｕｐ,その他金融業,713,2.81,15,2,-2,-13,17,6,-4,3,24
東証PRM,8061,西華産業(株),卸売業,3050,2.68,3,6,-8,-1,11,18,-8,3,24
東証STD,9930,北沢産業(株),卸売業,378,2.65,3,-2,3,-13,11,9,10,3,24
東証PRM,4839,(株)ＷＯＷＯＷ,情報・通信,1198,2.5,3,-2,-9,3,1,5,20,3,24
東証PRM,7180,(株)九州フィナンシャルグループ,銀行業,1259,2.14,15,0,9,-21,13,15,-10,3,24
東証PRM,7966,リンテック(株),その他製品,5210,2.11,3,-6,-3,-3,13,3,20,-3,24
東証PRM,8005,(株)スクロール,小売業,1597,6.39,3,-2,-8,3,1,14,15,-3,23
東証PRM,8897,ＭＩＲＡＲＴＨホールディングス(株),不動産業,401,5.24,15,-2,-3,-8,19,9,-10,3,23
東証PRM,6070,キャリアリンク(株),サービス業,2323,5.17,3,-6,-3,-13,13,1,13,15,23
東証PRM,2053,中部飼料(株),食料品,1693,4.49,3,-34,9,-7,19,11,19,3,23
東証STD,1430,ファーストコーポレーション(株),建設業,1080,4.26,3,2,3,-22,7,23,-8,15,23
東証PRM,8860,フジ住宅(株),不動産業,758,4.22,9,6,9,-24,13,11,-10,9,23
東証STD,1718,美樹工業(株),建設業,7160,4.19,3,6,3,-12,1,13,6,3,23
東証PRM,8424,芙蓉総合リース(株),その他金融業,4272,3.7,15,10,15,-48,21,11,-10,9,23
東証PRM,4072,(株)電算システムホールディングス,情報・通信,2918,3.43,6,0,-3,-3,9,9,-4,9,23
東証STD,6772,東京コスモス電機(株),電気機器,1172,3.41,3,-2,-2,3,11,10,-3,3,23
東証STD,3454,ファーストブラザーズ(株),不動産業,1162,3.18,3,28,3,-21,9,8,-10,3,23
東証STD,250A,シマダヤ(株),食料品,1662,3.13,9,0,3,0,1,3,10,-3,23
東証STD,8891,ＡＭＧホールディングス(株),不動産業,2244,3.12,15,-2,9,-22,17,11,-8,3,23
東証PRM,6638,(株)ミマキエンジニアリング,電気機器,1706,2.93,21,6,-2,-8,13,10,-8,-9,23
東証PRM,5233,太平洋セメント(株),ガラス・土石製品,3618,2.76,9,-2,-2,-8,7,14,2,3,23
東証PRM,6616,トレックス・セミコンダクター(株),電気機器,2155,2.6,-3,-6,-19,9,15,7,17,3,23
東証PRM,8282,(株)ケーズホールディングス,小売業,1856,2.48,9,2,-3,-14,9,-5,16,9,23
東証PRM,5976,ネツレン,金属製品,1309,5.12,9,-6,-2,3,7,-6,20,-3,22
東証PRM,2181,パーソルホールディングス(株),サービス業,236.5,4.65,21,-42,3,9,21,-3,-2,15,22
東証PRM,5959,岡部(株),金属製品,910,4.62,3,-2,-13,3,9,11,20,-9,22
東証PRM,2168,(株)パソナグループ,サービス業,1630,4.6,3,2,-13,3,15,3,-6,15,22
東証PRM,5411,ＪＦＥホールディングス(株),鉄鋼,1765,4.53,-3,-2,-2,-3,5,10,2,15,22
東証STD,2499,日本和装ホールディングス(株),サービス業,313,4.47,0,0,-3,-9,19,12,-9,12,22
東証PRM,8698,マネックスグループ(株),証券業,685,4.47,9,28,-8,-12,15,-3,-10,3,22
東証PRM,3457,(株)Ａｎｄ　Ｄｏホールディングス,不動産業,1042,4.41,9,-2,3,-7,15,17,-10,-3,22
東証STD,5257,ノバシステム(株),情報・通信,2470,4.25,12,-2,6,9,0,-3,0,0,22
東証PRM,4668,(株)明光ネットワークジャパン,サービス業,680,4.12,9,-2,-8,9,7,-10,20,-3,22
東証STD,2112,塩水港精糖(株),食料品,496,4.03,3,6,-3,3,9,5,-4,3,22
東証STD,7377,ＤＮホールディングス(株),サービス業,1874,4,9,0,3,-2,1,12,5,-6,22
東証STD,6384,(株)昭和真空,機械,1754,3.99,-3,-2,-3,-2,11,5,19,-3,22
東証PRM,1964,中外炉工業(株),建設業,4630,3.89,9,6,3,-28,11,13,11,-3,22
東証PRM,5108,(株)ブリヂストン,ゴム製品,3284,3.81,3,-10,-2,-3,13,10,14,-3,22
東証STD,3955,(株)イムラ,パルプ・紙,856,3.5,6,-8,-6,0,10,14,18,-12,22
東証STD,6633,(株)ＣＧＳホールディングス,電気機器,328,3.05,-6,-4,3,6,-3,-1,9,18,22
名証,1738,(株)ＮＩＴＴＯＨ,,594,2.86,21,-42,9,-3,13,5,16,3,22
