市場,証券コード,銘柄名,業種,株価,配当利回り(%),売上高スコア,営業利益率スコア,EPSスコア,営業CFスコア,一株配当スコア,配当性向スコア,自己資本比率スコア,現金等スコア,総合スコア
東証PRM,4182,三菱ガス化学(株),化学,4582,2.18,3,-2,3,3,15,5,15,-3,39
東証PRM,5185,(株)フコク,ゴム製品,1783,4.77,9,-6,-7,3,13,7,10,9,38
東証PRM,4221,大倉工業(株),化学,5030,4.37,0,0,3,0,13,3,13,6,38
東証STD,7863,(株)平賀,その他製品,985,4.06,3,-6,3,9,9,9,8,3,38
東証PRM,9715,トランスコスモス(株),サービス業,3840,3.78,15,-6,-8,3,-3,18,10,9,38
東証STD,6835,アライドテレシスホールディングス(株),電気機器,269,3.35,9,6,-3,5,6,6,-6,15,38
東証PRM,8439,東京センチュリー(株),その他金融業,2197,3.28,21,6,15,-21,19,11,-10,-3,38
東証PRM,7203,トヨタ自動車(株),輸送用機器,2913,3.26,9,-6,-3,-3,9,21,-10,21,38
東証PRM,7888,三光合成(株),化学,858,3.26,3,6,-2,-3,13,6,-6,21,38
東証PRM,4212,積水樹脂(株),化学,2218,3.25,-3,2,-3,-9,21,1,20,9,38
東証STD,6125,(株)岡本工作機械製作所,機械,4920,3.25,3,2,9,-8,13,9,1,9,38
東証STD,7087,(株)ウイルテック,サービス業,1278,3.13,21,-38,9,-3,17,11,9,12,38
東証PRM,4634,ａｒｔｉｅｎｃｅ(株),化学,3995,3,-3,6,-3,3,15,1,10,9,38
東証STD,3513,イチカワ(株),繊維製品,3025,2.98,3,-2,9,3,11,-15,20,9,38
東証GRT,173A,(株)ハンモック,情報・通信,1385,2.89,12,36,-6,-8,3,0,-5,6,38
東証PRM,1941,(株)中電工,建設業,4875,2.87,15,-2,-14,3,13,-4,24,3,38
東証PRM,3034,クオールホールディングス(株),小売業,1760,2.61,15,-6,9,-3,9,9,2,3,38
東証STD,7643,(株)ダイイチ,小売業,1663,2.41,21,-42,3,-9,21,11,18,15,38
東証PRM,7276,(株)小糸製作所,電気機器,2634,2.13,3,2,3,-9,9,3,18,9,38
東証PRM,4051,ＧＭＯフィナンシャルゲート(株),情報・通信,5900,2.12,15,2,15,-12,9,-2,11,0,38
東証PRM,3245,(株)ディア・ライフ,不動産業,1040,6.15,9,-2,-3,-12,3,19,8,15,37
東証GRT,9219,(株)ギックス,サービス業,916,5.84,24,2,-4,-18,3,2,22,6,37
東証PRM,8130,(株)サンゲツ,卸売業,2989,5.19,21,-2,-3,-3,21,-9,15,-3,37
東証STD,8291,日産東京販売ホールディングス(株),小売業,542,4.98,3,-2,3,3,9,7,11,3,37
東証STD,3633,ＧＭＯペパボ(株),情報・通信,1880,4.95,21,6,4,-2,9,0,-10,9,37
東証PRM,1870,矢作建設工業(株),建設業,2152,4.65,15,-2,3,-18,19,13,10,-3,37
東証GRT,3300,(株)アンビション　ＤＸ　ホールディングス,不動産業,2378,4.63,15,2,15,-18,13,11,-10,9,37
東証STD,3375,(株)ＺＯＡ,小売業,1722,4.36,9,-2,9,-12,11,11,8,3,37
東証PRM,3031,(株)ラクーンホールディングス,情報・通信,625,4.32,21,2,15,-8,7,-1,-8,9,37
東証PRM,8803,平和不動産(株),不動産業,2433,4.23,-3,36,15,-14,19,-3,-10,-3,37
東証PRM,1871,ピーエス・コンストラクション(株),建設業,2683,4.06,3,6,9,-18,15,17,2,3,37
東証PRM,3252,地主(株),不動産業,3285,3.96,9,20,9,-26,9,9,-8,15,37
東証PRM,1975,(株)朝日工業社,建設業,3750,3.6,21,2,9,-18,7,13,0,3,37
東証STD,6149,(株)小田原エンジニアリング,機械,1994,3.51,3,2,3,-13,7,11,15,9,37
東証PRM,5105,ＴＯＹＯ　ＴＩＲＥ(株),ゴム製品,3874,3.48,3,-2,-2,-3,13,12,7,9,37
東証PRM,4784,ＧＭＯインターネット(株),サービス業,671,3.21,3,-2,-1,4,21,1,8,3,37
東証STD,9888,(株)ＵＥＸ,卸売業,712,3.09,3,-2,3,-8,3,27,-10,21,37
東証PRM,2685,(株)アンドエスティＨＤ,小売業,3070,2.93,9,2,9,-9,11,13,11,-9,37
東証STD,3361,(株)トーエル,小売業,856,2.69,3,-2,-3,-3,9,11,19,3,37
東証STD,146A,コロンビア・ワークス(株),不動産業,3800,2.47,15,24,9,-25,12,0,-7,9,37
東証PRM,6526,(株)ソシオネクスト,電気機器,2204,2.27,-3,2,9,6,0,0,14,9,37
