証券コード,年度,売上高,営業利益,営業利益率(%),EPS,営業CF,現金等,一株配当,配当性向(%),自己資本比率(%)
1807,2016/03,40220877000,2444474000,6.08,231.86,3626020000,4945668000,17.5,7.5,37.4
1808,2016/03,787354000000,68762000000,8.73,170.41,65590000000,152115000000,15,8.8,31.3
1810,2016/03,87958870000,6120907000,6.96,125.76,10536187000,24951065000,16,12.7,39.9
1811,2016/03,115041000000,4526000000,3.93,408.59,2442000000,22955000000,60,-,40.5
1812,2016/03,1742700000000,111079000000,6.37,139.31,36354000000,234811000000,24,17.2,25
1813,2016/03,64004000000,3118000000,4.87,122.08,2774000000,7912000000,40,32.8,46.1
1814,2016/03,59880000000,3713000000,6.20,217.19,1705000000,2574000000,10,4.6,23.8
1815,2016/03,171243000000,1785000000,1.04,81.42,-3112000000,10795000000,20,24.6,24.5
1820,2016/03,308826000000,16184000000,5.24,263.56,4120000000,27903000000,80,30.4,43.8
1821,2016/03,414958000000,23364000000,5.63,60.91,10742000000,57730000000,10,16.4,14.3
1822,2016/03,146815000000,9348000000,6.37,67.17,14890000000,31633000000,5,7.4,35.7
1824,2016/03,441723000000,18703000000,4.23,98.75,-11310000000,25469000000,11,11.1,35.3
1826,2016/03,32237000000,1222000000,3.79,83.76,-362000000,5111000000,13,15.5,49.9
1827,2016/03,114989000000,5481000000,4.77,115.95,9607000000,29329000000,7,6,26.8
1828,2016/03,28885101000,1575569000,5.45,90.8,424809000,3624992000,10,11,50.8
1832,2016/03,49890000000,1215872000,2.44,54.91,880000000,5846000000,10,18.2,59.1
1833,2016/03,205291000000,8423000000,4.10,216.37,1033000000,25379000000,105,48.5,53.7
1835,2016/03,126807837000,12480040000,9.84,240.92,2123722000,17830238000,40,16.6,54.3
1840,2016/10,24896001000,148082000,0.59,1.2,1332184000,5661985000,4,332,62.4
1841,2016/03,7540000000,477241000,6.33,-3.12,899000000,2077000000,25,-,82.1
1844,2016/07,3565969000,127762000,3.58,9.02,-177642000,1971685000,5,55.4,58.7
1847,2016/03,71778000000,3890000000,5.42,319.5,666000000,7849000000,20,12.5,28.5
1848,2016/03,23014000000,624000000,2.71,27.99,772000000,1719000000,5,17.9,32.9
1850,2016/03,43659000000,1909000000,4.37,42.35,888000000,2305000000,,,21.9
1852,2016/03,146982000000,6454000000,4.39,88.42,3326000000,32007000000,5,5.7,18.7
1853,2016/03,32741000000,2020000000,6.17,40.76,1685000000,5689000000,3,-,31
1860,2016/03,492621000000,21629000000,4.39,65.25,-8863000000,54650000000,10,15.3,31.9
1861,2016/03,343647000000,24540000000,7.14,80.89,4234000000,72422000000,10,12.4,25.4
1865,2016/03,139269000000,5861000000,4.21,68.7,-991000000,26106000000,18,26.2,60
1866,2016/03,72329232000,3689678000,5.10,87.1,570453000,8472370000,25,28.7,51
1867,2016/03,42767658000,1815557000,4.25,173.18,1458521000,5441063000,37.5,21.7,44.8
1869,2016/03,91642000000,5112000000,5.58,131.67,6018000000,3239000000,14,10.6,46.5
1870,2016/03,88758000000,7353000000,8.28,107.5,2333000000,11639000000,22,20.5,41.6
1871,2016/03,96066000000,2891000000,3.01,38.33,5604000000,11599000000,8,20.9,32.7
1873,2016/10,45980000000,3858000000,8.39,61.37,5205000000,7933000000,15,24.4,43.5
1878,2016/03,1411643000000,101001000000,7.15,172.62,78822000000,182631000000,86.4,50.1,34.3
